ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
518,407,-111,,Dunstable BUASD,Dunstable,East of England,407,446,524,928,242,£350k-£650k,188,,,,,,,,,,,,,,,,,
265,409,144,,Yeovil BUA,Yeovil,South West,409,624,349,595,679,£350k-£650k,190,,,,,,,,,,,,,,,,,
261,410,149,,Reigate,Reigate,South East,410,446,1296,261,147,Over £650k,44,,,,,,,,,,,,,,,,,
223,411,188,,Stourport-on-Severn BUASD,Stourport-on-Severn,West Midlands,411,439,684,765,266,less than £350k,176,,,,,,,,,,,,,,,,,
701,412,-289,,Havant BUASD,Havant,South East,412,263,679,1197,47,£350k-£650k,191,,,,,,,,,,,,,,,,,
163,413,250,,Ambleside BUA,Ambleside,North West,413,161,1335,73,691,£350k-£650k,192,,,,,,,,,,,,,,,,,
81,414,333,,Downton BUA,Downton,South West,414,70,898,55,1296,£350k-£650k,193,,,,,,,,,,,,,,,,,
197,414,217,,Newton Abbot BUASD,Newton Abbot,South West,414,573,742,318,653,£350k-£650k,194,,,,,,,,,,,,,,,,,
493,416,-77,,Barry BUA,Barry,Wales,416,576,582,612,487,less than £350k,177,,,,,,,,,,,,,,,,,
401,417,16,,Alrewas BUA,Alrewas,West Midlands,417,309,1076,224,697,£350k-£650k,195,,,,,,,,,,,,,,,,,
143,418,275,,Mytholmroyd BUA,Mytholmroyd,Yorkshire and Humberside,418,348,155,243,1344,less than £350k,178,,,,,,,,,,,,,,,,,
958,419,-539,,Sandiacre BUASD,Sandiacre,East Midlands,419,640,638,766,185,less than £350k,179,,,,,,,,,,,,,,,,,
317,420,103,,Croydon,Croydon,Greater London,420,421,1122,562,126,Over £650k,45,,,,,,,,,,,,,,,,,
889,420,-469,,Bentley BUASD,Bentley,Yorkshire and Humberside,420,1073,85,984,387,less than £350k,180,,,,,,,,,,,,,,,,,
450,422,-28,,Mold BUA,Mold,Wales,422,249,1086,398,550,less than £350k,181,,,,,,,,,,,,,,,,,
418,423,5,,Saltdean BUASD,Saltdean,South East,423,145,502,844,765,Over £650k,46,,,,,,,,,,,,,,,,,
764,424,-340,,Baldock BUASD,Baldock,East of England,424,1019,644,465,233,£350k-£650k,196,,,,,,,,,,,,,,,,,
811,425,-386,,Chobham,Chobham,South East,425,1087,352,286,678,Over £650k,47,,,,,,,,,,,,,,,,,
597,426,-171,,Hemel Hempstead BUASD,Hemel Hempstead,East of England,426,194,878,950,228,£350k-£650k,197,,,,,,,,,,,,,,,,,
229,427,198,,Holywell Green BUA,Holywell Green,Yorkshire and Humberside,427,1005,143,233,1133,less than £350k,182,,,,,,,,,,,,,,,,,
46,428,382,,Bosham BUA,Bosham,South East,428,38,857,114,1325,£350k-£650k,198,,,,,,,,,,,,,,,,,
579,428,-151,,Bargod BUASD,Bargod,Wales,428,413,28,797,1285,less than £350k,183,,,,,,,,,,,,,,,,,
743,430,-313,,Hattersley BUASD,Hattersley,North West,430,817,12,1249,773,less than £350k,184,,,,,,,,,,,,,,,,,
142,431,289,,Eastbourne BUASD,Eastbourne,South East,431,153,957,484,745,£350k-£650k,199,,,,,,,,,,,,,,,,,
693,432,-261,,Ilkeston BUASD,Ilkeston,East Midlands,432,705,265,769,613,less than £350k,185,,,,,,,,,,,,,,,,,
570,433,-137,,East Horsley BUA,East Horsley,South East,433,446,622,730,412,Over £650k,48,,,,,,,,,,,,,,,,,
734,434,-300,,Guiseley BUASD,Guiseley,Yorkshire and Humberside,434,811,915,636,66,£350k-£650k,200,,,,,,,,,,,,,,,,,
128,435,307,,Macclesfield BUASD,Macclesfield,North West,435,207,1083,287,777,£350k-£650k,201,,,,,,,,,,,,,,,,,
910,436,-474,,Marske-by-the-Sea BUA,Marske-by-the-Sea,North East,436,381,560,791,499,less than £350k,186,,,,,,,,,,,,,,,,,
170,437,267,,Tangmere BUA,Tangmere,South East,437,670,1081,168,538,£350k-£650k,202,,,,,,,,,,,,,,,,,
634,438,-196,,Shildon BUA,Shildon,North East,438,1143,14,577,1167,less than £350k,187,,,,,,,,,,,,,,,,,
997,439,-558,,Stakeford BUASD,Stakeford,North East,439,309,45,1310,736,less than £350k,188,,,,,,,,,,,,,,,,,
185,440,255,,Narberth BUA,Narberth,Wales,440,825,1287,189,98,less than £350k,189,,,,,,,,,,,,,,,,,
786,441,-345,,Ely BUA,Ely,East of England,441,1089,533,313,476,£350k-£650k,203,,,,,,,,,,,,,,,,,
605,442,-163,,Hemingford Grey BUASD,Hemingford Grey,East of England,442,947,701,247,552,£350k-£650k,204,,,,,,,,,,,,,,,,,
158,443,285,,Manningtree BUA,Manningtree,East of England,443,55,1128,457,795,£350k-£650k,205,,,,,,,,,,,,,,,,,
1019,444,-575,,Redcar BUASD,Redcar,North East,444,546,277,1239,191,less than £350k,190,,,,,,,,,,,,,,,,,
277,445,168,,Herne Bay BUASD,Herne Bay,South East,445,572,615,483,681,£350k-£650k,206,,,,,,,,,,,,,,,,,
500,446,-54,,High Lane BUASD,High Lane,North West,446,71,220,706,1267,£350k-£650k,207,,,,,,,,,,,,,,,,,
1047,447,-600,,Shaw (Oldham) BUASD,Shaw (Oldham),North West,447,949,40,874,894,less than £350k,191,,,,,,,,,,,,,,,,,
718,448,-270,,Annfield Plain BUA,Annfield Plain,North East,448,999,42,780,921,less than £350k,192,,,,,,,,,,,,,,,,,
101,449,348,,Brightlingsea BUA,Brightlingsea,East of England,449,644,629,259,833,£350k-£650k,208,,,,,,,,,,,,,,,,,
757,450,-307,,Tynemouth BUASD,Tynemouth,North East,450,688,359,761,517,less than £350k,193,,,,,,,,,,,,,,,,,
870,451,-419,,Abergele BUASD,Abergele,Wales,451,731,251,862,558,less than £350k,194,,,,,,,,,,,,,,,,,
335,451,116,,Crediton BUA,Crediton,South West,451,774,759,82,909,£350k-£650k,209,,,,,,,,,,,,,,,,,
131,453,322,,Upton upon Severn BUA,Upton upon Severn,West Midlands,453,201,856,183,1112,£350k-£650k,210,,,,,,,,,,,,,,,,,
437,454,17,,Hitchin BUASD,Hitchin,East of England,454,442,1180,472,207,Over £650k,49,,,,,,,,,,,,,,,,,
589,455,-134,,Ramsbottom BUASD,Ramsbottom,North West,455,621,472,537,733,£350k-£650k,211,,,,,,,,,,,,,,,,,
750,456,-294,,Dudley (Dudley) BUASD,Dudley (Dudley),West Midlands,456,698,551,898,156,less than £350k,195,,,,,,,,,,,,,,,,,
595,457,-138,,Melksham BUA,Melksham,South West,457,556,796,706,275,£350k-£650k,212,,,,,,,,,,,,,,,,,
844,458,-386,,Kingsnorth (Ashford) BUASD,Kingsnorth (Ashford),South East,458,916,291,878,340,£350k-£650k,213,,,,,,,,,,,,,,,,,
374,459,85,,St Albans BUASD,St Albans,East of England,459,607,1056,447,271,Over £650k,50,,,,,,,,,,,,,,,,,
494,460,-34,,Woking,Woking,South East,460,285,826,935,227,Over £650k,51,,,,,,,,,,,,,,,,,
290,461,171,,Whitchurch (Shropshire) BUA,Whitchurch (Shropshire),West Midlands,461,1072,626,230,549,less than £350k,196,,,,,,,,,,,,,,,,,
547,462,-85,,Rishton BUA,Rishton,North West,462,178,338,777,1009,less than £350k,197,,,,,,,,,,,,,,,,,
349,463,114,,Bognor Regis BUA,Bognor Regis,South East,463,289,393,871,723,£350k-£650k,214,,,,,,,,,,,,,,,,,
1027,464,-563,,Gamesley BUASD,Gamesley,East Midlands,464,543,23,964,1220,less than £350k,198,,,,,,,,,,,,,,,,,
674,464,-210,,Potton BUA,Potton,East of England,464,1198,355,328,564,£350k-£650k,215,,,,,,,,,,,,,,,,,
386,466,80,,Bramley,Bramley,South East,466,156,1092,267,905,Over £650k,52,,,,,,,,,,,,,,,,,
269,467,198,,Goring BUASD,Goring,South East,467,32,1213,247,1022,Over £650k,53,,,,,,,,,,,,,,,,,
355,468,113,,Hounslow,Hounslow,Greater London,468,587,1277,514,48,Over £650k,54,,,,,,,,,,,,,,,,,
837,469,-368,,Langwith BUA,Langwith,East Midlands,469,1213,41,450,1033,less than £350k,199,,,,,,,,,,,,,,,,,
50,470,420,,Rowhedge BUASD,Rowhedge,East of England,470,246,762,374,952,£350k-£650k,216,,,,,,,,,,,,,,,,,
666,471,-195,,Adderbury BUA,Adderbury,South East,471,1078,679,89,732,£350k-£650k,217,,,,,,,,,,,,,,,,,
563,472,-91,,Penarth BUASD,Penarth,Wales,472,535,915,475,487,£350k-£650k,218,,,,,,,,,,,,,,,,,
492,473,-19,,Wombwell BUASD,Wombwell,Yorkshire and Humberside,473,763,140,851,750,less than £350k,200,,,,,,,,,,,,,,,,,
154,474,320,,Needham Market BUA,Needham Market,East of England,474,584,979,130,830,£350k-£650k,219,,,,,,,,,,,,,,,,,
138,474,336,,Meltham BUA,Meltham,Yorkshire and Humberside,474,653,363,462,899,less than £350k,201,,,,,,,,,,,,,,,,,
552,476,-76,,Melbourne (South Derbyshire) BUA,Melbourne (South Derbyshire,East Midlands,476,1278,841,34,461,£350k-£650k,220,,,,,,,,,,,,,,,,,
574,477,-97,,Pembury BUA,Pembury,South East,477,446,453,699,692,£350k-£650k,221,,,,,,,,,,,,,,,,,
446,478,32,,Mountain Ash BUA,Mountain Ash,Wales,478,228,253,643,1185,less than £350k,202,,,,,,,,,,,,,,,,,
76,479,403,,Wellington BUASD,Wellington,South West,479,431,898,239,830,£350k-£650k,222,,,,,,,,,,,,,,,,,
975,480,-495,,Walkden BUASD,Walkden,North West,480,1056,198,1167,69,less than £350k,203,,,,,,,,,,,,,,,,,
405,481,76,,Nottingham BUASD,Nottingham,East Midlands,481,966,966,496,94,less than £350k,204,,,,,,,,,,,,,,,,,
709,482,-227,,Bolton-le-Sands BUA,Bolton-le-Sands,North West,482,79,600,815,919,£350k-£650k,223,,,,,,,,,,,,,,,,,
651,483,-168,,Peterborough BUASD,Peterborough,East of England,483,1121,527,718,82,less than £350k,205,,,,,,,,,,,,,,,,,
461,484,23,,Birkenhead BUASD,Birkenhead,North West,484,930,466,440,622,less than £350k,206,,,,,,,,,,,,,,,,,
593,485,-108,,Leadgate BUASD,Leadgate,North East,485,903,115,893,671,less than £350k,207,,,,,,,,,,,,,,,,,
498,486,-12,,Felixstowe BUASD,Felixstowe,East of England,486,64,749,867,746,£350k-£650k,224,,,,,,,,,,,,,,,,,
916,486,-430,,Rotherham BUASD,Rotherham,Yorkshire and Humberside,486,713,314,958,393,less than £350k,208,,,,,,,,,,,,,,,,,
60,488,428,,Edenbridge BUA,Edenbridge,South East,488,142,1018,475,787,£350k-£650k,225,,,,,,,,,,,,,,,,,
403,489,86,,Holywell BUASD,Holywell,Wales,489,917,718,378,439,less than £350k,209,,,,,,,,,,,,,,,,,
560,490,-70,,Richmond upon Thames,Richmond upon,Greater London,490,403,1254,250,434,Over £650k,55,,,,,,,,,,,,,,,,,
617,491,-126,,Horley,Horley,South East,491,560,1207,846,13,£350k-£650k,226,,,,,,,,,,,,,,,,,
495,492,-3,,Brantham BUA,Brantham,East of England,492,163,524,840,803,£350k-£650k,227,,,,,,,,,,,,,,,,,
796,493,-303,,Bootle BUASD,Bootle,North West,493,779,657,638,334,less than £350k,210,,,,,,,,,,,,,,,,,
98,494,396,,Bowness-on-Windermere BUASD,Bowness-on-Windermere,North West,494,69,1174,158,1120,£350k-£650k,228,,,,,,,,,,,,,,,,,
349,495,146,,Coningsby Airfield BUA,Coningsby Airfield,East Midlands,495,534,1192,512,188,less than £350k,211,,,,,,,,,,,,,,,,,
979,496,-483,,Bilston BUASD,Bilston,West Midlands,496,386,619,1295,16,less than £350k,212,,,,,,,,,,,,,,,,,
293,496,203,,Liverpool BUASD,Liverpool,North West,496,1111,1047,208,182,less than £350k,213,,,,,,,,,,,,,,,,,
209,498,289,,Yelverton BUA,Yelverton,South West,498,26,875,342,1228,£350k-£650k,229,,,,,,,,,,,,,,,,,
157,499,342,,Sturminster Newton BUA,Sturminster Newton,South West,499,221,783,199,1169,£350k-£650k,230,,,,,,,,,,,,,,,,,
527,500,-27,,Westbury (Wiltshire) BUA,Westbury (Wiltshire,South West,500,859,821,321,482,£350k-£650k,231,,,,,,,,,,,,,,,,,
236,500,264,,Cambridge BUASD,Cambridge,East of England,500,1015,1256,241,52,Over £650k,56,,,,,,,,,,,,,,,,,
1002,502,-500,,Darlaston BUASD,Darlaston,West Midlands,502,592,543,1177,61,less than £350k,214,,,,,,,,,,,,,,,,,
306,503,197,,Burnham-on-Sea BUASD,Burnham-on-Sea,South West,503,297,381,721,934,£350k-£650k,232,,,,,,,,,,,,,,,,,
555,504,-51,,Clayton-le-Moors BUASD,Clayton-le-Moors,North West,504,129,573,579,1094,less than £350k,215,,,,,,,,,,,,,,,,,
192,505,313,,Shaldon BUASD,Shaldon,South West,505,269,1124,32,1131,Over £650k,57,,,,,,,,,,,,,,,,,
724,506,-218,,Biggleswade BUA,Biggleswade,East of England,506,562,557,999,262,£350k-£650k,233,,,,,,,,,,,,,,,,,
489,507,18,,Northampton BUASD,Northampton,East Midlands,507,1101,614,520,249,£350k-£650k,234,,,,,,,,,,,,,,,,,
869,508,-361,,Yeadon BUASD,Yeadon,Yorkshire and Humberside,508,384,766,804,370,£350k-£650k,235,,,,,,,,,,,,,,,,,
1187,508,-679,,Oldbury (Sandwell) BUASD,Oldbury (Sandwell),West Midlands,508,608,496,1144,96,less than £350k,216,,,,,,,,,,,,,,,,,
266,510,244,,Corbridge BUA,Corbridge,North East,510,419,847,58,1161,£350k-£650k,236,,,,,,,,,,,,,,,,,
325,511,186,,Banbury BUASD,Banbury,South East,511,412,938,653,365,£350k-£650k,237,,,,,,,,,,,,,,,,,
463,512,49,,Market Rasen BUA,Market Rasen,East Midlands,512,819,1198,287,177,less than £350k,217,,,,,,,,,,,,,,,,,
182,513,331,,Chard BUA,Chard,South West,513,532,1128,257,589,less than £350k,218,,,,,,,,,,,,,,,,,
466,514,48,,Witney BUA,Witney,South East,514,189,1278,368,533,£350k-£650k,238,,,,,,,,,,,,,,,,,
472,515,43,,Callington BUASD,Callington,South West,515,655,800,373,617,less than £350k,219,,,,,,,,,,,,,,,,,
798,516,-282,,Linton BUA,Linton,East of England,516,1310,675,128,428,£350k-£650k,239,,,,,,,,,,,,,,,,,
940,517,-423,,Port Talbot BUASD,Port Talbot,Wales,517,530,345,963,595,less than £350k,220,,,,,,,,,,,,,,,,,
1220,518,-702,,Brinsley BUASD,Brinsley,East Midlands,518,1203,90,971,392,less than £350k,221,,,,,,,,,,,,,,,,,
949,519,-430,,St Ives BUASD,St Ives,East of England,519,983,1001,508,93,£350k-£650k,240,,,,,,,,,,,,,,,,,
806,520,-286,,Burry Port BUASD,Burry Port,Wales,520,342,111,957,1083,less than £350k,222,,,,,,,,,,,,,,,,,
364,521,157,,Leighton Buzzard BUA,Leighton Buzzard,East of England,521,360,593,658,748,£350k-£650k,241,,,,,,,,,,,,,,,,,
590,522,-68,,Droitwich BUASD,Droitwich,West Midlands,522,541,1015,677,222,£350k-£650k,242,,,,,,,,,,,,,,,,,
260,523,263,,South Petherton BUASD,South Petherton,South West,523,1017,1159,85,431,£350k-£650k,243,,,,,,,,,,,,,,,,,
943,524,-419,,Rhodes BUASD,Rhodes,North West,524,346,58,1022,1149,less than £350k,224,,,,,,,,,,,,,,,,,
372,524,152,,Blaenau Ffestiniog BUA,Blaenau Ffestiniog,Wales,524,685,69,306,1353,less than £350k,223,,,,,,,,,,,,,,,,,
829,526,-303,,Horwich BUASD,Horwich,North West,526,1250,357,861,60,less than £350k,225,,,,,,,,,,,,,,,,,
451,527,76,,Watford,Watford,East of England,527,389,1089,741,172,Over £650k,58,,,,,,,,,,,,,,,,,
787,528,-259,,Trimley St Mary BUASD,Trimley St Mary,East of England,528,446,278,977,708,£350k-£650k,244,,,,,,,,,,,,,,,,,
238,529,291,,Leek BUASD,Leek,West Midlands,529,427,927,215,931,less than £350k,226,,,,,,,,,,,,,,,,,
730,530,-200,,Altrincham BUASD,Altrincham,North West,530,662,862,919,57,£350k-£650k,245,,,,,,,,,,,,,,,,,
891,530,-361,,Thetford BUA,Thetford,East of England,530,899,476,498,647,less than £350k,227,,,,,,,,,,,,,,,,,
1005,532,-473,,Totton BUASD,Totton,South East,532,238,216,1305,529,£350k-£650k,246,,,,,,,,,,,,,,,,,
622,533,-89,,Knutsford BUA,Knutsford,North West,533,947,845,389,360,£350k-£650k,247,,,,,,,,,,,,,,,,,
174,534,360,,Ashburton BUA,Ashburton,South West,534,446,1126,38,1011,£350k-£650k,248,,,,,,,,,,,,,,,,,
34,535,501,,Buckfastleigh BUASD,Buckfastleigh,South West,535,77,1323,165,928,less than £350k,228,,,,,,,,,,,,,,,,,
1125,536,-589,,Cwmavon BUA,Cwmavon,Wales,536,358,65,1105,1043,less than £350k,229,,,,,,,,,,,,,,,,,
1090,537,-553,,Kempston BUASD,Kempston,East of England,537,665,249,1108,423,£350k-£650k,249,,,,,,,,,,,,,,,,,
791,538,-253,,Stratton BUA,Stratton,South West,538,446,195,557,1212,£350k-£650k,250,,,,,,,,,,,,,,,,,
291,539,248,,Northwich BUASD,Northwich,North West,539,654,1178,500,158,less than £350k,230,,,,,,,,,,,,,,,,,
418,540,122,,Downham Market BUA,Downham Market,East of England,540,874,1020,407,253,£350k-£650k,251,,,,,,,,,,,,,,,,,
190,541,351,,Whalley BUASD,Whalley,North West,541,202,1111,209,1006,£350k-£650k,252,,,,,,,,,,,,,,,,,
689,542,-147,,Higham Ferrers BUASD,Higham Ferrers,East Midlands,542,1117,229,434,834,£350k-£650k,253,,,,,,,,,,,,,,,,,
470,543,73,,Barnoldswick BUA,Barnoldswick,North West,543,258,692,640,826,less than £350k,232,,,,,,,,,,,,,,,,,
858,543,-315,,Cleethorpes BUASD,Cleethorpes,Yorkshire and Humberside,543,425,138,874,1076,less than £350k,231,,,,,,,,,,,,,,,,,
1027,545,-482,,Upper Poppleton BUA,Upper Poppleton,Yorkshire and Humberside,545,676,542,801,424,£350k-£650k,254,,,,,,,,,,,,,,,,,
486,546,60,,Oldham BUASD,Oldham,North West,546,660,460,782,555,less than £350k,233,,,,,,,,,,,,,,,,,
165,547,382,,Appleby-in-Westmorland BUA,Appleby-in-Westmorland,North West,547,122,1247,72,1141,less than £350k,234,,,,,,,,,,,,,,,,,
471,547,76,,Yarm BUA,Yarm,North East,547,441,665,667,632,less than £350k,235,,,,,,,,,,,,,,,,,
618,549,-69,,Brampton (Carlisle) BUA,Brampton (Carlisle),North West,549,833,985,224,579,less than £350k,236,,,,,,,,,,,,,,,,,
438,550,112,,Kensington and Chelsea,Kensington and Chelsea,Greater London,550,885,1154,23,748,Over £650k,59,,,,,,,,,,,,,,,,,
1109,551,-558,,Hebburn BUASD,Hebburn,North East,551,872,239,1256,100,less than £350k,237,,,,,,,,,,,,,,,,,
702,552,-150,,Long Hanborough BUA,Long Hanborough,South East,552,446,833,591,563,£350k-£650k,255,,,,,,,,,,,,,,,,,
352,553,201,,Birmingham BUASD,Birmingham,West Midlands,553,631,1058,631,192,less than £350k,238,,,,,,,,,,,,,,,,,
385,554,169,,Glemsford BUA,Glemsford,East of England,554,1145,416,206,851,£350k-£650k,256,,,,,,,,,,,,,,,,,
883,555,-328,,Caerphilly BUASD,Caerphilly,Wales,555,854,538,960,137,less than £350k,239,,,,,,,,,,,,,,,,,
917,556,-361,,Denton BUASD,Denton,North West,556,420,142,919,1041,less than £350k,240,,,,,,,,,,,,,,,,,
797,557,-240,,Farnworth BUASD,Farnworth,North West,557,996,137,1074,451,less than £350k,241,,,,,,,,,,,,,,,,,
741,558,-183,,Burgess Hill BUA,Burgess Hill,South East,558,446,547,1188,142,£350k-£650k,257,,,,,,,,,,,,,,,,,
1144,559,-585,,Burntwood BUASD,Burntwood,West Midlands,559,268,471,1276,239,£350k-£650k,258,,,,,,,,,,,,,,,,,
637,560,-77,,Ferndale BUA,Ferndale,Wales,560,319,54,736,1337,less than £350k,243,,,,,,,,,,,,,,,,,
740,560,-180,,Audley BUASD,Audley,West Midlands,560,1195,107,551,876,less than £350k,242,,,,,,,,,,,,,,,,,
135,562,427,,Littlehampton BUASD,Littlehampton,South East,562,108,1063,753,611,£350k-£650k,259,,,,,,,,,,,,,,,,,
684,563,-121,,Atherton BUASD,Atherton,North West,563,865,110,1015,699,less than £350k,244,,,,,,,,,,,,,,,,,
302,564,262,,Cuckfield BUA,Cuckfield,South East,564,446,853,170,1050,Over £650k,60,,,,,,,,,,,,,,,,,
990,565,-425,,Ripley BUASD,Ripley,East Midlands,565,859,429,828,401,less than £350k,245,,,,,,,,,,,,,,,,,
164,566,402,,Overton (Basingstoke and Deane) BUA,Overton (Basingstoke and Deane),South East,566,8,1002,407,1204,£350k-£650k,260,,,,,,,,,,,,,,,,,
1092,567,-525,,Haslingden BUASD,Haslingden,North West,567,1070,698,577,203,less than £350k,246,,,,,,,,,,,,,,,,,
460,568,108,,Wandsworth,Wandsworth,Greater London,568,664,1268,319,232,Over £650k,61,,,,,,,,,,,,,,,,,
728,569,-159,,Sheringham BUASD,Sheringham,East of England,569,74,740,1038,669,£350k-£650k,261,,,,,,,,,,,,,,,,,
553,569,16,,Stonehouse BUASD,Stonehouse,South West,569,143,1202,572,581,£350k-£650k,262,,,,,,,,,,,,,,,,,
122,571,449,,Usk BUA,Usk,Wales,571,217,1050,34,1268,£350k-£650k,263,,,,,,,,,,,,,,,,,
393,572,179,,Cardiff BUASD,Cardiff,Wales,572,634,1203,326,371,£350k-£650k,264,,,,,,,,,,,,,,,,,
848,573,-275,,Hartley Wintney BUA,Hartley Wintney,South East,573,1096,516,553,405,Over £650k,62,,,,,,,,,,,,,,,,,
540,574,34,,Treherbert BUASD,Treherbert,Wales,574,184,162,647,1332,less than £350k,247,,,,,,,,,,,,,,,,,
647,575,-72,,Burwell BUA,Burwell,East of England,575,972,610,494,525,£350k-£650k,265,,,,,,,,,,,,,,,,,
725,576,-149,,St Neots BUASD,St Neots,East of England,576,833,993,705,80,£350k-£650k,266,,,,,,,,,,,,,,,,,
614,577,-37,,Ealing,Ealing,Greater London,577,615,1295,605,38,Over £650k,63,,,,,,,,,,,,,,,,,
706,577,-129,,Thornbury BUA,Thornbury,South West,577,1032,626,488,445,£350k-£650k,267,,,,,,,,,,,,,,,,,
362,579,217,,East Cowes BUASD,East Cowes,South East,579,27,1181,644,815,less than £350k,248,,,,,,,,,,,,,,,,,
839,580,-259,,Caerleon BUA,Caerleon,Wales,580,323,481,773,867,less than £350k,249,,,,,,,,,,,,,,,,,
602,581,-21,,Withernsea BUA,Withernsea,Yorkshire and Humberside,581,276,356,825,1001,less than £350k,250,,,,,,,,,,,,,,,,,
684,582,-102,,Newark-on-Trent BUASD,Newark-on-Trent,East Midlands,582,1000,513,242,889,less than £350k,251,,,,,,,,,,,,,,,,,
340,583,243,,Lydd BUA,Lydd,South East,583,1053,300,138,1165,£350k-£650k,268,,,,,,,,,,,,,,,,,
897,584,-313,,Ushaw Moor BUASD,Ushaw Moor,North East,584,1098,7,1133,1015,less than £350k,252,,,,,,,,,,,,,,,,,
432,585,153,,Seahouses BUA,Seahouses,North East,585,34,974,654,1004,£350k-£650k,269,,,,,,,,,,,,,,,,,
298,585,287,,Redhill,Redhill,South East,585,244,1269,699,219,Over £650k,64,,,,,,,,,,,,,,,,,
338,587,249,,Church Stretton BUA,Church Stretton,West Midlands,587,446,1280,363,351,£350k-£650k,270,,,,,,,,,,,,,,,,,
457,587,130,,Whitstable BUASD,Whitstable,South East,587,533,596,886,506,£350k-£650k,271,,,,,,,,,,,,,,,,,
944,589,-355,,Walsall BUASD,Walsall,West Midlands,589,398,946,758,374,less than £350k,253,,,,,,,,,,,,,,,,,
1004,590,-414,,Middleton (Rochdale) BUASD,Middleton (Rochdale),North West,590,729,91,1101,764,less than £350k,254,,,,,,,,,,,,,,,,,
159,591,432,,Dorking,Dorking,South East,591,231,1157,344,800,Over £650k,65,,,,,,,,,,,,,,,,,
784,592,-192,,Derby BUASD,Derby,East Midlands,592,970,894,503,275,less than £350k,255,,,,,,,,,,,,,,,,,
620,593,-27,,Spennymoor BUA,Spennymoor,North East,593,1151,103,1028,476,less than £350k,256,,,,,,,,,,,,,,,,,
345,594,249,,Henley-In-Arden BUA,Henley-In-Arden,West Midlands,594,1201,124,147,1244,£350k-£650k,272,,,,,,,,,,,,,,,,,
771,595,-176,,Blyth (Northumberland) BUA,Blyth (Northumberland),North East,595,769,83,1194,661,less than £350k,257,,,,,,,,,,,,,,,,,
257,596,339,,Milborne Port BUA,Milborne Port,South West,596,1059,802,27,982,£350k-£650k,273,,,,,,,,,,,,,,,,,
994,597,-397,,Thornaby-on-Tees BUASD,Thornaby-on-Tees,North East,597,538,535,1166,211,less than £350k,258,,,,,,,,,,,,,,,,,
434,598,164,,Haringey,Haringey,Greater London,598,1044,1037,267,335,Over £650k,66,,,,,,,,,,,,,,,,,
1163,599,-564,,Washingborough BUA,Washingborough,East Midlands,599,805,201,827,809,less than £350k,259,,,,,,,,,,,,,,,,,
547,600,53,,Horbury BUASD,Horbury,Yorkshire and Humberside,600,695,953,516,419,less than £350k,260,,,,,,,,,,,,,,,,,
373,601,228,,Nettlestone BUASD,Nettlestone,South East,601,172,494,487,1253,£350k-£650k,274,,,,,,,,,,,,,,,,,
106,602,496,,Alcester BUA,Alcester,West Midlands,602,334,1206,140,929,£350k-£650k,275,,,,,,,,,,,,,,,,,
455,603,148,,Newham,Newham,Greater London,603,623,1261,452,184,Over £650k,67,,,,,,,,,,,,,,,,,
611,604,-7,,Southport BUA,Southport,North West,604,1014,545,444,631,less than £350k,261,,,,,,,,,,,,,,,,,
601,605,4,,Llanfair Pwllgwyngyll BUA,Llanfair Pwllgwyngyll,Wales,605,446,582,604,859,less than £350k,262,,,,,,,,,,,,,,,,,
587,606,19,,Newick BUASD,Newick,South East,606,730,1184,302,403,£350k-£650k,276,,,,,,,,,,,,,,,,,
474,607,133,,Saundersfoot BUASD,Saundersfoot,Wales,607,272,1121,633,511,£350k-£650k,277,,,,,,,,,,,,,,,,,
676,608,-68,,Wellingborough BUASD,Wellingborough,East Midlands,608,1166,304,542,659,less than £350k,263,,,,,,,,,,,,,,,,,
612,609,-3,,Milton Keynes BUASD,Milton Keynes,South East,609,610,1222,874,19,£350k-£650k,278,,,,,,,,,,,,,,,,,
1082,610,-472,,Pontllan-fraith BUASD,Pontllan-fraith,Wales,610,549,285,1015,753,less than £350k,264,,,,,,,,,,,,,,,,,
342,611,269,,Olney BUA,Olney,South East,611,893,1359,152,72,£350k-£650k,279,,,,,,,,,,,,,,,,,
567,612,45,,Wigan BUASD,Wigan,North West,612,959,411,638,634,less than £350k,265,,,,,,,,,,,,,,,,,
308,613,305,,Launceston BUASD,Launceston,South West,613,874,1288,30,615,less than £350k,266,,,,,,,,,,,,,,,,,
974,614,-360,,Mansfield BUASD,Mansfield,East Midlands,614,1186,380,932,114,less than £350k,267,,,,,,,,,,,,,,,,,
890,615,-275,,Norton Canes BUA,Norton Canes,West Midlands,615,233,25,1326,1158,less than £350k,268,,,,,,,,,,,,,,,,,
607,616,9,,Harrogate BUASD,Harrogate,Yorkshire and Humberside,616,805,911,420,535,£350k-£650k,280,,,,,,,,,,,,,,,,,
713,617,-96,,Lichfield BUA,Lichfield,West Midlands,617,887,1040,549,205,£350k-£650k,281,,,,,,,,,,,,,,,,,
799,618,-181,,Easingwold BUA,Easingwold,Yorkshire and Humberside,618,763,1088,623,159,£350k-£650k,282,,,,,,,,,,,,,,,,,
440,619,179,,Atherstone BUASD,Atherstone,West Midlands,619,649,574,458,911,less than £350k,269,,,,,,,,,,,,,,,,,
479,619,140,,South Cerney BUA,South Cerney,South West,619,915,586,265,936,£350k-£650k,283,,,,,,,,,,,,,,,,,
